,movie_name,god,help,kill,please,dead,love,sorry,beautiful,baby,father,bomb,genre
0,Blade_1,4,4,5,4,5,0,3,0,3,0,0,Action
1,Demolition_Man,3,0,11,6,0,7,8,0,0,0,0,Horror
2,Drag_Me_To_Hell,22,16,0,10,14,10,7,0,8,2,0,Horror
3,Halloween_II,19,22,8,53,8,12,9,2,13,0,0,Horror
4,IndependenceDay.brrip.1996.1080p,22,7,4,13,0,12,9,0,11,0,0,Action
5,Ip Man,0,0,0,0,1,0,2,0,0,0,0,Action
6,JohnWick,5,0,8,2,0,3,4,0,0,1,0,Action
7,Mr_and_Mrs_Smith,3,0,12,3,0,8,8,0,3,0,0,Action
8,Rush.Hour.1998.PROPER.1080p.BluRay.H264.AAC-RARBG_English,5,9,7,9,0,0,11,0,5,9,7,Action
9,Saw.X.2023.1080p.Cam.X264.Will1869,2,8,10,12,2,0,0,0,0,8,0,Horror
10,The.Cabin.in.the.Woods.2012.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos-FGT.eng,15,5,8,9,3,0,4,0,4,2,0,Horror
11,The.Notebook.DVDRip.XviD-DiAMOND,6,11,0,9,0,44,14,6,6,0,0,Romance
12,Titanic.1997.WEBRip.Amazon,15,18,0,24,0,11,11,0,4,0,0,Romance
13,Violent.Night.2022.NORDiC.1080p.BluRay.DTS-HD.MA.7.1.x264-YOLO.eng1,7,8,10,3,6,5,6,3,0,0,0,Action
14,Wanted.2008.WEB-DL.TUBI,8,0,21,7,3,3,13,0,3,24,0,Action
