,movie_name,god,help,kill,please,dead,love,sorry,beautiful,baby,father,bomb,genre
0,Before.Sunset,10,0,0,0,0,30,10,6,0,0,0,Romance
1,Blade_1,4,4,5,4,5,0,3,0,3,0,0,Action
2,Bride.Of.Chucky,10,4,7,8,11,17,0,4,3,0,0,Horror
3,Candyman,5,11,4,13,0,4,4,2,11,3,0,Horror
4,Casablanca,0,13,0,11,0,19,8,7,0,0,0,Romance
5,Cold.Pursuit,0,10,7,6,4,7,5,0,5,7,0,Romance
6,Demolition_Man,3,0,11,6,0,7,8,0,0,0,0,Action
7,Drag_Me_To_Hell,22,16,0,10,14,10,7,0,8,2,0,Horror
8,EVIL-DEAD-RISE,2,8,2,5,12,4,4,0,0,3,0,Horror
9,Freaky,28,23,7,18,3,19,18,0,0,0,0,Horror
10,Halloween_II,19,22,8,53,8,12,9,2,13,0,0,Horror
11,Haunted Mansion,10,21,0,0,9,6,9,0,4,12,0,Horror
12,IndependenceDay,22,7,4,13,0,12,9,0,11,0,0,Action
13,Ip Man,0,0,0,0,1,0,2,0,0,0,0,Action
14,It,23,30,26,13,22,14,9,0,0,7,0,Horror
15,JackReacher,0,8,12,0,4,3,4,0,0,9,0,Action
16,JohnWick,5,0,8,2,0,3,4,0,0,1,0,Action
17,Mr_and_Mrs_Smith,3,0,12,3,0,8,8,0,3,0,0,Action
18,Past Lives,0,0,0,0,0,3,0,0,0,0,0,Romance
19,Pet.Sematary,14,4,0,0,15,5,3,0,4,3,0,Horror
20,Rush.Hour,5,9,7,9,0,0,11,0,5,9,7,Action
21,Saw.X,2,8,10,12,2,0,0,0,0,8,0,Horror
22,Sinister,8,4,0,0,0,0,13,0,0,0,0,Horror
23,The.Cabin.in.the.Woods,15,5,8,9,3,0,4,0,4,2,0,Horror
24,The.Exorcist,18,13,0,15,3,9,9,0,0,34,0,Horror
25,The.Notebook,6,11,0,9,0,44,14,6,6,0,0,Romance
26,The.One,2,3,16,0,9,0,0,0,0,0,0,Action
27,The.Princess.Bride,4,6,13,8,14,26,4,0,0,14,0,Romance
28,The.Raid.Redemption,0,0,9,0,0,0,0,0,0,0,0,Action
29,TheDarkKnight,5,6,18,9,5,6,10,0,0,0,0,Action
30,Titanic,15,18,0,24,0,11,11,0,4,0,0,Romance
31,Violent.Night,7,8,10,3,6,5,6,3,0,0,0,Action
32,Wanted,8,0,21,7,3,3,13,0,3,24,0,Action
